name,description,owner_avatar_url,html_url,stargazers_count,created_at,updated_at,pushed_at
d3.geo2rect,Morphing geojson polygons into rectangles ,https://avatars.githubusercontent.com/u/302789?v=4,https://github.com/sebastian-meier/d3.geo2rect,199,2017-02-03T19:52:37Z,2024-06-01T11:20:49Z,2019-01-07T10:35:14Z
d3-inertia,Dragging stuff with inertia,https://avatars.githubusercontent.com/u/7001?v=4,https://github.com/Fil/d3-inertia,63,2017-11-06T14:05:12Z,2024-07-24T15:14:39Z,2023-07-18T20:28:09Z
mapmap.js,A data-driven API for interactive thematic maps,https://avatars.githubusercontent.com/u/95970?v=4,https://github.com/floledermann/mapmap.js,112,2015-03-09T08:30:14Z,2024-03-12T08:25:36Z,2019-10-16T06:32:54Z
maptable,"JS library which converts any dataset to an interactive set of components: a choropleth or heat map, filters and table",https://avatars.githubusercontent.com/u/15347439?v=4,https://github.com/Packet-Clearing-House/maptable,58,2014-12-10T03:16:49Z,2024-06-14T13:42:20Z,2024-06-14T22:37:49Z
simple-map-d3,"A very simple ""choropleth"" style map with D3.  All you need is a GeoJSON of polygons.",https://avatars.githubusercontent.com/u/1085124?v=4,https://github.com/MinnPost/simple-map-d3,115,2013-01-04T20:06:13Z,2024-05-05T21:00:32Z,2017-02-07T16:44:57Z
spam,A D3 library to create maps with Canvas,https://avatars.githubusercontent.com/u/12434704?v=4,https://github.com/newsappsio/spam,103,2015-06-11T21:01:51Z,2023-01-19T06:03:29Z,2022-09-29T23:46:35Z
leaflet-d3,Collection of plugins for using d3.js with Leaflet,https://avatars.githubusercontent.com/u/491054?v=4,https://github.com/bluehalo/leaflet-d3,261,2014-10-01T17:44:38Z,2024-07-07T03:15:08Z,2023-03-07T09:53:14Z
WikimapsAtlas-generator,"A command line utility to convert heavy GIS sources into elegant administrative & topographic topojson files, raster files, and web friendly svg maps.",https://avatars.githubusercontent.com/u/7090194?v=4,https://github.com/WikimapsAtlas/WikimapsAtlas-generator,45,2014-11-17T19:55:20Z,2023-03-01T17:30:36Z,2022-12-06T23:21:05Z
react-simple-maps,Beautiful React SVG maps with d3-geo and topojson using a declarative api.,https://avatars.githubusercontent.com/u/26087675?v=4,https://github.com/zcreativelabs/react-simple-maps,3053,2017-03-03T18:17:19Z,2024-08-17T10:05:54Z,2024-08-08T15:53:29Z
crossfilter,Fast n-dimensional filtering and grouping of records.,https://avatars.githubusercontent.com/u/12073349?v=4,https://github.com/crossfilter/crossfilter,1731,2015-06-02T13:42:34Z,2024-08-08T08:13:32Z,2023-07-19T00:43:22Z
